# SignalUncertainties for simplified model based on squark+gluino production 
# with all open production modes (go go, sq sq, sq go, sq sq~) considered
# See further details in ATLSUSYSW-233
SAMPLE        FS        CROSSSECTION[pb]           K-Factor  FILTEREFF REL.UNCERT
373725         1         0.0000001084         1         1         0.77879848
373725         2         0.0000540917         1         1         0.54258870
373725         3         0.0000000000         1         1         0.00000000
373725         4         0.0000000000         1         1         0.00000000
373726         1         0.0000000209         1         1         0.80628070
373726         2         0.0000042609         1         1         0.68881720
373726         3         0.0000000000         1         1         0.00000000
373726         4         0.0000000000         1         1         0.00000000
373727         1         0.0900600830         1         1         0.14350359
373727         2         0.0009165268         1 0.9831838         0.36876954
373727         3         0.7901510722         1 0.2761555         0.05232011
373727         4         1.0270225947         1 0.1940249         0.13304430
373728         1         0.0228066777         1         1         0.18240357
373728         2         0.0000806427         1 0.9964723         0.47130345
373728         3         0.5706253563         1 0.2818507         0.05054405
373728         4         0.8990392514         1 0.1900281         0.13288059
373729         1         0.0063137463         1         1         0.23132702
373729         2         0.0000071766         1 0.9944285         0.59436470
373729         3         0.4319785872         1 0.2904247         0.04963031
373729         4         0.8119027060         1 0.1833148         0.13644299
373730         1         0.0004856149         1         1         0.39335038
373730         2         0.0000000349         1         1         0.84901880
373730         3         0.2641076146         1 0.3032628         0.08325480
373730         4         0.6695102977         1 0.1814906         0.14377830
373731         1         0.0000447349         1         1         0.50888216
373731         2         0.0000000000         1         1         0.74633057
373731         3         0.2042031953         1 0.3058693         0.11411646
373731         4         0.6204158827         1 0.1805673         0.14724324
373732         1         0.0000039025         1         1         0.62638891
373732         2         0.0000000000         1         1         0.00000000
373732         3         0.1814719842         1 0.3095755         0.16480879
373732         4         0.5915297073         1 0.1859357         0.14998404
373733         1         0.0412378273         1         1         0.16204547
373733         2         0.0007733101         1         1         0.40328714
373733         3         0.2124318193         1         1         0.06427567
373733         4         0.1370613079         1         1         0.12985558
373734         1         0.0108374646         1         1         0.20698300
373734         2         0.0000703236         1         1         0.50031637
373734         3         0.1586451053         1         1         0.05573937
373734         4         0.1166500487         1         1         0.13458521
373735         1         0.0030572923         1         1         0.25857918
373735         2         0.0000064910         1         1         0.61568792
373735         3         0.1221988495         1         1         0.05174432
373735         4         0.1024992950         1         1         0.13848138
373736         1         0.0002365673         1         1         0.42496977
373736         2         0.0000000329         1         1         0.85543888
373736         3         0.0737649773         1         1         0.07738182
373736         4         0.0786368287         1         1         0.16636588
373737         1         0.0000213323         1         1         0.54090736
373737         2         0.0000000000         1         1         0.75462598
373737         3         0.0516068858         1         1         0.07945260
373737         4         0.0690889559         1         1         0.17342144
373738         1         0.0000017785         1         1         0.65482487
373738         2         0.0000000000         1         1         0.00000000
373738         3         0.0389020287         1         1         0.08693535
373738         4         0.0630564100         1         1         0.17968879
