# date: Sept 18 2015
## format : datasetID   finalState   XS(pb)   K-factor   filterEff   relUncertainty
372600     4     147.5985870361328          1     1     0.141775608063
372601     4     147.5985870361328          1     1     0.141775608063
372602     4     147.5985870361328          1     1     0.141775608063
372603     4     147.5985870361328          1     1     0.141775608063
372604     4     147.5985870361328          1     1     0.141775608063
372605     4     22.536664962768555         1     1     0.137695237994
372606     4     22.536664962768555         1     1     0.137695237994
372607     4     22.536664962768555         1     1     0.137695237994
372608     4     22.536664962768555         1     1     0.137695237994
372609     4     22.536664962768555         1     1     0.137695237994
372610     4     5.284941673278809          1     1     0.13842253387
372611     4     5.284941673278809          1     1     0.13842253387
372612     4     5.284941673278809          1     1     0.13842253387
372613     4     5.284941673278809          1     1     0.13842253387
372614     4     5.284941673278809          1     1     0.13842253387
372615     4     5.284941673278809          1     1     0.13842253387
372616     4     1.5781981945037842         1     1     0.132825762033
372617     4     1.5781981945037842         1     1     0.132825762033
372618     4     1.5781981945037842         1     1     0.132825762033
372619     4     1.5781981945037842         1     1     0.132825762033
372620     4     1.5781981945037842         1     1     0.132825762033
372621     4     1.5781981945037842         1     1     0.132825762033
372622     4     1.5781981945037842         1     1     0.132825762033
372623     4     0.552053689956665          1     1     0.131884232163
372624     4     0.552053689956665          1     1     0.131884232163
372625     4     0.552053689956665          1     1     0.131884232163
372626     4     0.552053689956665          1     1     0.131884232163
372627     4     0.552053689956665          1     1     0.131884232163
372628     4     0.552053689956665          1     1     0.131884232163
372629     4     0.552053689956665          1     1     0.131884232163
372630     4     0.552053689956665          1     1     0.131884232163
372631     4     0.21725311875343323        1     1     0.134882211685
372632     4     0.21725311875343323        1     1     0.134882211685
372633     4     0.21725311875343323        1     1     0.134882211685
372634     4     0.21725311875343323        1     1     0.134882211685
372635     4     0.21725311875343323        1     1     0.134882211685
372636     4     0.21725311875343323        1     1     0.134882211685
372637     4     0.21725311875343323        1     1     0.134882211685
372638     4     0.21725311875343323        1     1     0.134882211685
372639     4     0.09425400197505951        1     1     0.143474519253
372640     4     0.09425400197505951        1     1     0.143474519253
372641     4     0.09425400197505951        1     1     0.143474519253
372642     4     0.09425400197505951        1     1     0.143474519253
372643     4     0.09425400197505951        1     1     0.143474519253
372644     4     0.09425400197505951        1     1     0.143474519253
372645     4     0.09425400197505951        1     1     0.143474519253
372646     4     0.04344669356942177        1     1     0.153538227081
372647     4     0.04344669356942177        1     1     0.153538227081
372648     4     0.04344669356942177        1     1     0.153538227081
372649     4     0.04344669356942177        1     1     0.153538227081
372650     4     0.04344669356942177        1     1     0.153538227081
372651     4     0.04344669356942177        1     1     0.153538227081
372652     4     0.04344669356942177        1     1     0.153538227081
372653     4     0.020936978980898857       1     1     0.164374813437
372654     4     0.020936978980898857       1     1     0.164374813437
372655     4     0.020936978980898857       1     1     0.164374813437
372656     4     0.020936978980898857       1     1     0.164374813437
372657     4     0.020936978980898857       1     1     0.164374813437
372658     4     0.020936978980898857       1     1     0.164374813437
372720     4     0.7076538801193237         1     1     0.130873173475
372721     4     0.7076538801193237         1     1     0.130873173475
372722     4     0.7076538801193237         1     1     0.130873173475
372723     4     0.7076538801193237         1     1     0.130873173475
372724     4     0.7076538801193237         1     1     0.130873173475
372725     4     0.7076538801193237         1     1     0.130873173475
372726     4     0.7076538801193237         1     1     0.130873173475
372727     4     0.7076538801193237         1     1     0.130873173475
372728     4     0.7076538801193237         1     1     0.130873173475
372729     4     0.27105361223220825        1     1     0.133063644171
372730     4     0.27105361223220825        1     1     0.133063644171
372731     4     0.27105361223220825        1     1     0.133063644171
372732     4     0.27105361223220825        1     1     0.133063644171
372733     4     0.27105361223220825        1     1     0.133063644171
372734     4     0.27105361223220825        1     1     0.133063644171
372735     4     0.27105361223220825        1     1     0.133063644171
372736     4     0.27105361223220825        1     1     0.133063644171
372737     4     0.27105361223220825        1     1     0.133063644171
372738     4     0.27105361223220825        1     1     0.133063644171
372739     4     0.11535850167274475        1     1     0.141148537397
372740     4     0.11535850167274475        1     1     0.141148537397
372741     4     0.11535850167274475        1     1     0.141148537397
372742     4     0.11535850167274475        1     1     0.141148537397
372743     4     0.11535850167274475        1     1     0.141148537397
372744     4     0.11535850167274475        1     1     0.141148537397
372745     4     0.11535850167274475        1     1     0.141148537397
372746     4     0.11535850167274475        1     1     0.141148537397
372747     4     0.11535850167274475        1     1     0.141148537397
372748     4     0.11535850167274475        1     1     0.141148537397
372749     4     0.052372414618730545       1     1     0.150806084275
372750     4     0.052372414618730545       1     1     0.150806084275
372751     4     0.052372414618730545       1     1     0.150806084275
372752     4     0.052372414618730545       1     1     0.150806084275
372753     4     0.052372414618730545       1     1     0.150806084275
372754     4     0.052372414618730545       1     1     0.150806084275
372755     4     0.052372414618730545       1     1     0.150806084275
372756     4     0.052372414618730545       1     1     0.150806084275
372757     4     0.052372414618730545       1     1     0.150806084275
372758     4     0.052372414618730545       1     1     0.150806084275
372759     4     0.052372414618730545       1     1     0.150806084275
372760     4     0.02497563697397709        1     1     0.16219522059
372761     4     0.02497563697397709        1     1     0.16219522059
372762     4     0.02497563697397709        1     1     0.16219522059
372763     4     0.02497563697397709        1     1     0.16219522059
372764     4     0.02497563697397709        1     1     0.16219522059
372765     4     0.02497563697397709        1     1     0.16219522059
372766     4     0.02497563697397709        1     1     0.16219522059
372767     4     0.02497563697397709        1     1     0.16219522059
372768     4     0.02497563697397709        1     1     0.16219522059
372769     4     0.02497563697397709        1     1     0.16219522059
372770     4     0.02497563697397709        1     1     0.16219522059
