# SignalUncertainties for gluino R-hadron production (qq)
# with various lifetimes and neutralino masses (when applicable)
# Decay BR is set to 1
# Source: https://cds.cern.ch/record/2052186 (Table 1)
DSID     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
#m=400GeV
402723	  0       0.0253	  1.0	       1.0         0.21
402724	  0       0.0253	  1.0	       1.0         0.21
403070	  0       0.0253	  1.0	       1.0         0.21
402003	  0       0.0253	  1.0	       1.0         0.21
#m=1500GeV
402109	  0       0.0142          1.0          1.0         0.23
402110	  0       0.0142          1.0          1.0         0.23
402111	  0       0.0142          1.0          1.0         0.23
402112	  0       0.0142          1.0          1.0         0.23
402113	  0       0.0142          1.0          1.0         0.23
#m=1600GeV
402775	  0       0.00809	  1.0          1.0         0.24
402783	  0       0.00809	  1.0          1.0         0.24
402791	  0       0.00809	  1.0          1.0         0.24
402725	  0       0.00809	  1.0          1.0         0.24
402114	  0       0.00809	  1.0          1.0         0.24
402115	  0       0.00809	  1.0          1.0         0.24
402116	  0       0.00809	  1.0          1.0         0.24
402117	  0       0.00809	  1.0          1.0         0.24
402118	  0       0.00809	  1.0          1.0         0.24
402115	  0       0.00809	  1.0          1.0         0.24
403079	  0       0.00809	  1.0          1.0         0.24
403080	  0       0.00809	  1.0          1.0         0.24
403078	  0       0.00809	  1.0          1.0         0.24
403077	  0       0.00809	  1.0          1.0         0.24
402746	  0       0.00809	  1.0          1.0         0.24
402747	  0       0.00809	  1.0          1.0         0.24
402748	  0       0.00809	  1.0          1.0         0.24
402749	  0       0.00809	  1.0          1.0         0.24
402750	  0       0.00809	  1.0          1.0         0.24
402751	  0       0.00809	  1.0          1.0         0.24
402752	  0       0.00809	  1.0          1.0         0.24
402726	  0       0.00809	  1.0          1.0         0.24
403075	  0       0.00809	  1.0          1.0         0.24
402727	  0       0.00809	  1.0          1.0         0.24
402728	  0       0.00809	  1.0          1.0         0.24
402729	  0       0.00809	  1.0          1.0         0.24
403076	  0       0.00809	  1.0          1.0         0.24
402004	  0       0.00809	  1.0          1.0         0.24
#m=1700GeV
402128	  0       0.00470         1.0          1.0         0.26
402129	  0       0.00470         1.0          1.0         0.26
402130	  0       0.00470         1.0          1.0         0.26
402131	  0       0.00470         1.0          1.0         0.26
402128	  0       0.00470         1.0          1.0         0.26
#m=1800GeV
402776	  0       0.00276         1.0          1.0         0.28
402784	  0       0.00276         1.0          1.0         0.28
402792	  0       0.00276         1.0          1.0         0.28
402730	  0       0.00276         1.0          1.0         0.28
402132	  0       0.00276         1.0          1.0         0.28
402133	  0       0.00276         1.0          1.0         0.28
402134	  0       0.00276         1.0          1.0         0.28
402135	  0       0.00276         1.0          1.0         0.28
402132	  0       0.00276         1.0          1.0         0.28
403085	  0       0.00276         1.0          1.0         0.28
403086	  0       0.00276         1.0          1.0         0.28
403084	  0       0.00276         1.0          1.0         0.28
403083	  0       0.00276         1.0          1.0         0.28
402753	  0       0.00276         1.0          1.0         0.28
402754	  0       0.00276         1.0          1.0         0.28
402755	  0       0.00276         1.0          1.0         0.28
402756	  0       0.00276         1.0          1.0         0.28
402757	  0       0.00276         1.0          1.0         0.28
402758	  0       0.00276         1.0          1.0         0.28
402759	  0       0.00276         1.0          1.0         0.28
402760	  0       0.00276         1.0          1.0         0.28
402731	  0       0.00276         1.0          1.0         0.28
403081	  0       0.00276         1.0          1.0         0.28
402732	  0       0.00276         1.0          1.0         0.28
402733	  0       0.00276         1.0          1.0         0.28
402734	  0       0.00276         1.0          1.0         0.28
403082	  0       0.00276         1.0          1.0         0.28
402005	  0       0.00276         1.0          1.0         0.28
#m=1900GeV
402142	  0       0.00163         1.0          1.0         0.30
402143	  0       0.00163         1.0          1.0         0.30
402144	  0       0.00163         1.0          1.0         0.30
#m=2000GeV
402777	  0       0.000980        1.0          1.0         0.32
402785	  0       0.000980        1.0          1.0         0.32
402793	  0       0.000980        1.0          1.0         0.32
402735	  0       0.000980        1.0          1.0         0.32
402145	  0       0.000980        1.0          1.0         0.32
402146	  0       0.000980        1.0          1.0         0.32
402147	  0       0.000980        1.0          1.0         0.32
402145	  0       0.000980        1.0          1.0         0.32
403091	  0       0.000980        1.0          1.0         0.32
403092	  0       0.000980        1.0          1.0         0.32
403090	  0       0.000980        1.0          1.0         0.32
403089	  0       0.000980        1.0          1.0         0.32
402761	  0       0.000980        1.0          1.0         0.32
402762	  0       0.000980        1.0          1.0         0.32
402763	  0       0.000980        1.0          1.0         0.32
402764	  0       0.000980        1.0          1.0         0.32
402765	  0       0.000980        1.0          1.0         0.32
402766	  0       0.000980        1.0          1.0         0.32
402767	  0       0.000980        1.0          1.0         0.32
402768	  0       0.000980        1.0          1.0         0.32
402736	  0       0.000980        1.0          1.0         0.32
403087	  0       0.000980        1.0          1.0         0.32
402737	  0       0.000980        1.0          1.0         0.32
402738	  0       0.000980        1.0          1.0         0.32
402739	  0       0.000980        1.0          1.0         0.32
403088	  0       0.000980        1.0          1.0         0.32
402006	  0       0.000980        1.0          1.0         0.32
#m=2200GeV
402007	  0	  0.0003591	  1.0	       1.0         0.36
#m=2400GeV
402008	  0       0.0001339	  1.0          1.0         0.41
#m=2600GeV
402009	  0       0.00005028      1.0          1.0         0.46
#m=2800GeV
402010	  0       0.00001893      1.0          1.0         0.51
#m=3000GeV
402011	  0       0.00000712      1.0          1.0         0.57
