                        SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
susy.370619.NUHM2_m12_400.slha    118      0.0018044868   1.00000000    1.00000000   0.07509790
susy.370619.NUHM2_m12_400.slha    122      0.0002664650   1.00000000    1.00000000   0.07041738
susy.370619.NUHM2_m12_400.slha    123      0.0628066056   1.00000000    1.00000000   0.06735393
susy.370619.NUHM2_m12_400.slha    124      0.0048696810   1.00000000    1.00000000   0.06286865
susy.370619.NUHM2_m12_400.slha    125      0.6845201512   1.00000000    1.00000000   0.06476776
susy.370619.NUHM2_m12_400.slha    126      0.0067063042   1.00000000    1.00000000   0.05627793
susy.370619.NUHM2_m12_400.slha    127      0.3976839861   1.00000000    1.00000000   0.08518583
susy.370619.NUHM2_m12_400.slha    128      0.0033679821   1.00000000    1.00000000   0.07318125
susy.370619.NUHM2_m12_400.slha    133      0.0000557211   1.00000000    1.00000000   0.10394707
susy.370619.NUHM2_m12_400.slha    134      0.0000636446   1.00000000    1.00000000   0.07539568
susy.370619.NUHM2_m12_400.slha    135      0.1183185424   1.00000000    1.00000000   0.05812791
susy.370619.NUHM2_m12_400.slha    136      0.0036848994   1.00000000    1.00000000   0.05773533
susy.370619.NUHM2_m12_400.slha    137      0.0670198462   1.00000000    1.00000000   0.08128406
susy.370619.NUHM2_m12_400.slha    138      0.0018161476   1.00000000    1.00000000   0.07634830
susy.370619.NUHM2_m12_400.slha    144      0.0000158930   1.00000000    1.00000000   0.07992644
susy.370619.NUHM2_m12_400.slha    145      0.0054376416   1.00000000    1.00000000   0.05587952
susy.370619.NUHM2_m12_400.slha    146      0.0976478188   1.00000000    1.00000000   0.06106615
susy.370619.NUHM2_m12_400.slha    147      0.0027346724   1.00000000    1.00000000   0.07262348
susy.370619.NUHM2_m12_400.slha    148      0.0442265190   1.00000000    1.00000000   0.07409153
susy.370619.NUHM2_m12_400.slha    157      0.8415837349   1.00000000    1.00000000   0.07397928
susy.370619.NUHM2_m12_400.slha    158      0.0047908009   1.00000000    1.00000000   0.06312184
susy.370619.NUHM2_m12_400.slha    167      0.0047973169   1.00000000    1.00000000   0.06465433
susy.370619.NUHM2_m12_400.slha    168      0.0724744359   1.00000000    1.00000000   0.06197995
susy.370620.NUHM2_m12_500.slha    111      0.0023867653   1.00000000    1.00000000   0.07209579
susy.370620.NUHM2_m12_500.slha    112      0.6603094819   1.00000000    1.00000000   0.07005129
