# SignalUncertainties for simplified model based on gluino production followed
# by direct decays into qq+neutralino_1
SAMPLE    FS        CROSSSECTION[pb]           K-Factor  FILTEREFF REL.UNCERT
370900    2         3577.400634765625          1         1         0.141307726502
370901    2         98.161003112792969         1         1         0.139353513718
370902    2         9.216181755065918          1         1         0.138369098306
370903    2         8.1569595336914062         1         1         0.137711465359
370904    2         7.1617794036865234         1         1         0.138059899211
370905    2         5.6078953742980957         1         1         0.137404039502
370906    2         3.5251047611236572         1         1         0.141033783555
370907    2         3.1616034507751465         1         1         0.142423540354
370908    2         2.8195662498474121         1         1         0.143332928419
370909    2         2.2658524513244629         1         1         0.145652651787
370910    2         1.4891046285629272         1         1         0.150167047977
370911    2         1.4891046285629272         1         1         0.150167047977
370912    2         1.3478705883026123         1         1         0.151349276304
370913    2         1.2166982889175415         1         1         0.152140974998
370914    2         0.99613654613494873        1         1         0.154251515865
370915    2         0.99613654613494873        1         1         0.154251515865
370916    2         0.67747789621353149        1         1         0.158761784434
370917    2         0.67747789621353149        1         1         0.158761784434
370918    2         0.61855345964431763        1         1         0.15955644846
370919    2         0.5618891716003418         1         1         0.160625785589
370920    2         0.46635225415229797        1         1         0.163377866149
370921    2         0.46635225415229797        1         1         0.163377866149
370922    2         0.32538768649101257        1         1         0.167580008507
370923    2         0.32538768649101257        1         1         0.167580008507
370924    2         0.32538768649101257        1         1         0.167580008507
370925    2         0.22936668992042542        1         1         0.1719750911
370926    2         0.22936668992042542        1         1         0.1719750911
370927    2         0.16349056363105774        1         1         0.176402390003
370928    2         0.16349056363105774        1         1         0.176402390003
370929    2         0.16349056363105774        1         1         0.176402390003
370930    2         0.16349056363105774        1         1         0.176402390003
370931    2         0.16349056363105774        1         1         0.176402390003
370932    2         0.11768651008605957        1         1         0.180655181408
370933    2         0.11768651008605957        1         1         0.180655181408
370934    2         0.11768651008605957        1         1         0.180655181408
370935    2         0.11768651008605957        1         1         0.180655181408
370936    2         0.11768651008605957        1         1         0.180655181408
370937    2         0.08564179390668869        1         1         0.18481425941
370938    2         0.08564179390668869        1         1         0.18481425941
370939    2         0.08564179390668869        1         1         0.18481425941
370940    2         0.08564179390668869        1         1         0.18481425941
370941    2         0.08564179390668869        1         1         0.18481425941
370942    2         0.062683694064617157       1         1         0.189688101411
370943    2         0.062683694064617157       1         1         0.189688101411
370944    2         0.062683694064617157       1         1         0.189688101411
370945    2         0.062683694064617157       1         1         0.189688101411
370946    2         0.045982301235198975       1         1         0.198225662112
370947    2         0.045982301235198975       1         1         0.198225662112
370948    2         0.045982301235198975       1         1         0.198225662112
370949    2         0.045982301235198975       1         1         0.198225662112
370950    2         0.045982301235198975       1         1         0.198225662112
370951    2         0.033967431634664536       1         1         0.204904034734
370952    2         0.033967431634664536       1         1         0.204904034734
370953    2         0.033967431634664536       1         1         0.204904034734
370954    2         0.033967431634664536       1         1         0.204904034734
370955    2         0.033967431634664536       1         1         0.204904034734
370956    2         0.02526012621819973        1         1         0.210963279009
370957    2         0.02526012621819973        1         1         0.210963279009
370958    2         0.02526012621819973        1         1         0.210963279009
370959    2         0.02526012621819973        1         1         0.210963279009
370960    2         0.02526012621819973        1         1         0.210963279009
370961    2         0.018863050267100334       1         1         0.221204847097
370962    2         0.018863050267100334       1         1         0.221204847097
370963    2         0.018863050267100334       1         1         0.221204847097
370964    2         0.018863050267100334       1         1         0.221204847097
370965    2         0.014171450398862362       1         1         0.228925362229
370966    2         0.014171450398862362       1         1         0.228925362229
370967    2         0.014171450398862362       1         1         0.228925362229
370968    2         0.014171450398862362       1         1         0.228925362229
370969    2         0.014171450398862362       1         1         0.228925362229
370970    2         0.010688872076570988       1         1         0.236574783921
370971    2         0.010688872076570988       1         1         0.236574783921
370972    2         0.010688872076570988       1         1         0.236574783921
370973    2         0.010688872076570988       1         1         0.236574783921
370974    2         0.010688872076570988       1         1         0.236574783921
370975    2         0.0080897603183984756      1         1         0.244372189045
370976    2         0.0080897603183984756      1         1         0.244372189045
370977    2         0.0080897603183984756      1         1         0.244372189045
370978    2         0.0080897603183984756      1         1         0.244372189045
370979    2         0.0080897603183984756      1         1         0.244372189045
370980    2         0.006153046153485775       1         1         0.252940803766
370981    2         0.006153046153485775       1         1         0.252940803766
370982    2         0.006153046153485775       1         1         0.252940803766
370983    2         0.006153046153485775       1         1         0.252940803766
370984    2         0.0046974681317806244      1         1         0.262566953897
370985    2         0.0046974681317806244      1         1         0.262566953897
370986    2         0.0046974681317806244      1         1         0.262566953897
370987    2         0.0046974681317806244      1         1         0.262566953897
370988    2         0.0046974681317806244      1         1         0.262566953897
370989    2         0.0035944313276559114      1         1         0.272911936045
370990    2         0.0035944313276559114      1         1         0.272911936045
370991    2         0.0035944313276559114      1         1         0.272911936045
370992    2         0.0035944313276559114      1         1         0.272911936045
370993    2         0.0035944313276559114      1         1         0.272911936045
370994    2         0.0027583648916333914      1         1         0.282457530499
370995    2         0.0027583648916333914      1         1         0.282457530499
370996    2         0.0027583648916333914      1         1         0.282457530499
370997    2         0.0027583648916333914      1         1         0.282457530499
370998    2         0.0027583648916333914      1         1         0.282457530499
370999    2         0.0021210489794611931      1         1         0.2906255126
371000    2         0.0021210489794611931      1         1         0.2906255126
371001    2         0.0021210489794611931      1         1         0.2906255126
371002    2         0.0021210489794611931      1         1         0.2906255126
371003    2         0.0016337907873094082      1         1         0.300377488136
371004    2         0.0016337907873094082      1         1         0.300377488136
371005    2         0.0016337907873094082      1         1         0.300377488136
371006    2         0.0016337907873094082      1         1         0.300377488136
371007    2         0.0016337907873094082      1         1         0.300377488136
371008    2         0.0012630252167582512      1         1         0.305799394846
371009    2         0.0012630252167582512      1         1         0.305799394846
371010    2         0.0012630252167582512      1         1         0.305799394846
371011    2         0.0012630252167582512      1         1         0.305799394846

371012    2         0.0012630252167582512      1         1         0.305799394846
371013    2         0.00098026031628251076     1         1         0.319521099329
371014    2         0.00098026031628251076     1         1         0.319521099329
371015    2         0.00098026031628251076     1         1         0.319521099329
371016    2         0.00098026031628251076     1         1         0.319521099329
371017    2         0.00098026031628251076     1         1         0.319521099329
371021    2         2708.350830078125          1         1         0.139867067337
371022    2         2022.773193359375          1         1         0.139437779784
371023    2         1191.244140625             1         1         0.138544559479
371024    2         462.99142456054688         1         1         0.139706552029
371025    2         376.21975708007812         1         1         0.139789357781
371026    2         302.61898803710938         1         1         0.138496115804
371027    2         202.85952758789062         1         1         0.140849351883
371028    2         202.85952758789062         1         1         0.140849351883
371029    2         98.161003112792969         1         1         0.139353513718
371030    2         83.163108825683594         1         1         0.139379531145
371031    2         69.787681579589844         1         1         0.138973414898
371032    2         50.465583801269531         1         1         0.13881495595
371033    2         50.465583801269531         1         1         0.13881495595
371034    2         27.455181121826172         1         1         0.138039752841
371035    2         27.455181121826172         1         1         0.138039752841
371036    2         23.849178314208984         1         1         0.138465866446
371037    2         20.539102554321289         1         1         0.138320490718
371038    2         15.592067718505859         1         1         0.13723988831
371039    2         15.592067718505859         1         1         0.13723988831
371040    2         15.592067718505859         1         1         0.13723988831
371041    2         9.216181755065918          1         1         0.138369098306
371042    2         9.216181755065918          1         1         0.138369098306
371043    2         5.6078953742980957         1         1         0.137404039502
371044    2         5.6078953742980957         1         1         0.137404039502
371045    2         4.9972395896911621         1         1         0.13743647933
371046    2         4.4313187599182129         1         1         0.138748750091
371047    2         3.5251047611236572         1         1         0.141033783555
371048    2         3.5251047611236572         1         1         0.141033783555
371049    2         3.5251047611236572         1         1         0.141033783555
371050    2         2.2658524513244629         1         1         0.145652651787
371051    2         2.2658524513244629         1         1         0.145652651787
371052    2         2.2658524513244629         1         1         0.145652651787
371053    2         2.2658524513244629         1         1         0.145652651787
371054    2         2.0439579486846924         1         1         0.146424591541
371055    2         1.8318769931793213         1         1         0.147835448384
371056    2         1.4891046285629272         1         1         0.150167047977
371057    2         1.4891046285629272         1         1         0.150167047977
371058    2         1.4891046285629272         1         1         0.150167047977
371059    2         1.4891046285629272         1         1         0.150167047977
371060    2         0.99613654613494873        1         1         0.154251515865
371061    2         0.99613654613494873        1         1         0.154251515865
371062    2         0.99613654613494873        1         1         0.154251515865
371063    2         0.99613654613494873        1         1         0.154251515865
371064    2         0.90721458196640015        1         1         0.155351370573
371065    2         0.82025933265686035        1         1         0.156742200255
371066    2         0.67747789621353149        1         1         0.158761784434
371067    2         0.67747789621353149        1         1         0.158761784434
371068    2         0.67747789621353149        1         1         0.158761784434
371069    2         0.67747789621353149        1         1         0.158761784434
371070    2         0.67747789621353149        1         1         0.158761784434
371071    2         0.46635225415229797        1         1         0.163377866149
371072    2         0.46635225415229797        1         1         0.163377866149
371073    2         0.46635225415229797        1         1         0.163377866149
371074    2         0.46635225415229797        1         1         0.163377866149
371075    2         0.46635225415229797        1         1         0.163377866149
371076    2         0.46635225415229797        1         1         0.163377866149
371077    2         0.32538768649101257        1         1         0.167580008507
371078    2         0.32538768649101257        1         1         0.167580008507
371079    2         0.32538768649101257        1         1         0.167580008507
371080    2         0.32538768649101257        1         1         0.167580008507
371081    2         0.32538768649101257        1         1         0.167580008507
371082    2         0.29909461736679077        1         1         0.168744415045
371083    2         0.27277830243110657        1         1         0.16991725564
371084    2         0.22936668992042542        1         1         0.1719750911
371085    2         0.22936668992042542        1         1         0.1719750911
371086    2         0.22936668992042542        1         1         0.1719750911
371087    2         0.22936668992042542        1         1         0.1719750911
371088    2         0.22936668992042542        1         1         0.1719750911
371089    2         0.22936668992042542        1         1         0.1719750911
371090    2         0.16349056363105774        1         1         0.176402390003
371091    2         0.16349056363105774        1         1         0.176402390003
371092    2         0.16349056363105774        1         1         0.176402390003
371093    2         0.11768651008605957        1         1         0.180655181408
371094    2         0.11768651008605957        1         1         0.180655181408
371095    2         0.11768651008605957        1         1         0.180655181408
371096    2         0.08564179390668869        1         1         0.18481425941
371097    2         0.08564179390668869        1         1         0.18481425941
371098    2         0.08564179390668869        1         1         0.18481425941
371099    2         0.08564179390668869        1         1         0.18481425941
371100    2         0.062683694064617157       1         1         0.189688101411
371101    2         0.062683694064617157       1         1         0.189688101411
371102    2         0.062683694064617157       1         1         0.189688101411
371103    2         0.062683694064617157       1         1         0.189688101411
371104    2         0.045982301235198975       1         1         0.198225662112
371105    2         0.045982301235198975       1         1         0.198225662112
371106    2         0.045982301235198975       1         1         0.198225662112
