# SignalUncertainties for simplified model based on gluino production followed
# by direct decays into qq+neutralino_1
SAMPLE    FS        CROSSSECTION[pb]           K-Factor  FILTEREFF REL.UNCERT
403180    2         3.5251047611236572         1         1         0.141033783555
403181    2         1.4891046285629272         1         1         0.150167047977
403182    2         1.4891046285629272         1         1         0.150167047977
403183    2         0.67747789621353149        1         1         0.158761784434
403184    2         0.67747789621353149        1         1         0.158761784434
403185    2         0.67747789621353149        1         1         0.158761784434
403186    2         0.32538768649101257        1         1         0.167580008507
403187    2         0.32538768649101257        1         1         0.167580008507
403188    2         0.32538768649101257        1         1         0.167580008507
403189    2         0.32538768649101257        1         1         0.167580008507
403190    2         0.32538768649101257        1         1         0.167580008507
403191    2         0.32538768649101257        1         1         0.167580008507
403192    2         0.32538768649101257        1         1         0.167580008507
403193    2         0.32538768649101257        1         1         0.167580008507
403194    2         0.08564179390668869        1         1         0.18481425941
403195    2         0.08564179390668869        1         1         0.18481425941
403196    2         0.08564179390668869        1         1         0.18481425941
403197    2         0.08564179390668869        1         1         0.18481425941
403198    2         0.08564179390668869        1         1         0.18481425941
403199    2         0.08564179390668869        1         1         0.18481425941
403200    2         0.08564179390668869        1         1         0.18481425941
403201    2         0.02526012621819973        1         1         0.210963279009
403202    2         0.02526012621819973        1         1         0.210963279009
403203    2         0.02526012621819973        1         1         0.210963279009
403204    2         0.02526012621819973        1         1         0.210963279009
403205    2         0.02526012621819973        1         1         0.210963279009
403206    2         0.02526012621819973        1         1         0.210963279009
403207    2         0.0080897603183984756      1         1         0.244372189045
403208    2         0.0080897603183984756      1         1         0.244372189045
403209    2         0.0080897603183984756      1         1         0.244372189045
403210    2         0.0080897603183984756      1         1         0.244372189045
403211    2         0.0080897603183984756      1         1         0.244372189045
403212    2         0.0027583648916333914      1         1         0.282457530499
403213    2         0.0027583648916333914      1         1         0.282457530499
403214    2         0.0027583648916333914      1         1         0.282457530499
403215    2         0.0027583648916333914      1         1         0.282457530499
403216    2         0.00098026031628251076     1         1         0.319521099329
403217    2         0.00098026031628251076     1         1         0.319521099329
403218    2         0.00098026031628251076     1         1         0.319521099329
403230    2         3.5251047611236572         1         1         0.141033783555
403231    2         1.4891046285629272         1         1         0.150167047977
403232    2         1.4891046285629272         1         1         0.150167047977
403233    2         0.67747789621353149        1         1         0.158761784434
403234    2         0.67747789621353149        1         1         0.158761784434
403235    2         0.67747789621353149        1         1         0.158761784434
403236    2         0.32538768649101257        1         1         0.167580008507
403237    2         0.32538768649101257        1         1         0.167580008507
403238    2         0.32538768649101257        1         1         0.167580008507
403239    2         0.32538768649101257        1         1         0.167580008507
403240    2         0.32538768649101257        1         1         0.167580008507
403241    2         0.32538768649101257        1         1         0.167580008507
403242    2         0.32538768649101257        1         1         0.167580008507
403243    2         0.32538768649101257        1         1         0.167580008507
403244    2         0.08564179390668869        1         1         0.18481425941
403245    2         0.08564179390668869        1         1         0.18481425941
403246    2         0.08564179390668869        1         1         0.18481425941
403247    2         0.08564179390668869        1         1         0.18481425941
403248    2         0.08564179390668869        1         1         0.18481425941
403249    2         0.08564179390668869        1         1         0.18481425941
403250    2         0.08564179390668869        1         1         0.18481425941
403251    2         0.02526012621819973        1         1         0.210963279009
403252    2         0.02526012621819973        1         1         0.210963279009
403253    2         0.02526012621819973        1         1         0.210963279009
403254    2         0.02526012621819973        1         1         0.210963279009
403255    2         0.02526012621819973        1         1         0.210963279009
403256    2         0.02526012621819973        1         1         0.210963279009
403257    2         0.0080897603183984756      1         1         0.244372189045
403258    2         0.0080897603183984756      1         1         0.244372189045
403259    2         0.0080897603183984756      1         1         0.244372189045
403260    2         0.0080897603183984756      1         1         0.244372189045
403261    2         0.0080897603183984756      1         1         0.244372189045
403262    2         0.0027583648916333914      1         1         0.282457530499
403263    2         0.0027583648916333914      1         1         0.282457530499
403264    2         0.0027583648916333914      1         1         0.282457530499
403265    2         0.0027583648916333914      1         1         0.282457530499
403266    2         0.00098026031628251076     1         1         0.319521099329
403267    2         0.00098026031628251076     1         1         0.319521099329
403268    2         0.00098026031628251076     1         1         0.319521099329
